city,lat,lon,date,rainfall_30d,rainfall_90d,temp_mean,temp_max,humidity_mean,drought_index,Sample_ID,Soil_Collection_Date,Depth_cm,pH,Org_Carbon_pct,Nitrogen_pct,Texture_Code
Mumbai,19.076,72.8777,2020-01-05,0.0,0.0,19.4,30.7,82.9,50.0,S_0019,2020-05-14,0-20,6.94,1.97,0.143,SCL
Mumbai,19.076,72.8777,2020-01-12,0.0,0.0,19.9,32.8,76.3,50.0,S_0019,2020-05-14,0-20,6.94,1.97,0.143,SCL
Mumbai,19.076,72.8777,2020-01-19,0.0,0.0,19.6,30.5,80.4,50.0,S_0019,2020-05-14,0-20,6.94,1.97,0.143,SCL
Mumbai,19.076,72.8777,2020-01-26,0.0,0.0,20.4,32.3,77.0,50.0,S_0019,2020-05-14,0-20,6.94,1.97,0.143,SCL
Mumbai,19.076,72.8777,2020-02-02,0.0,0.0,20.2,32.4,75.9,50.0,S_0019,2020-05-14,0-20,6.94,1.97,0.143,SCL
Mumbai,19.076,72.8777,2020-02-09,0.0,0.0,20.4,30.6,77.4,50.0,S_0019,2020-05-14,0-20,6.94,1.97,0.143,SCL
Mumbai,19.076,72.8777,2020-02-16,0.0,0.0,19.8,32.3,80.7,50.0,S_0019,2020-05-14,0-20,6.94,1.97,0.143,SCL
Mumbai,19.076,72.8777,2020-02-23,0.0,0.0,20.2,31.6,78.9,50.0,S_0019,2020-05-14,0-20,6.94,1.97,0.143,SCL
Mumbai,19.076,72.8777,2020-03-01,0.0,0.0,21.3,32.9,80.5,50.0,S_0019,2020-05-14,0-20,6.94,1.97,0.143,SCL
Mumbai,19.076,72.8777,2020-03-08,44.0,44.0,28.6,39.8,85.1,24.0,S_0019,2020-05-14,0-20,6.94,1.97,0.143,SCL
Mumbai,19.076,72.8777,2020-03-15,49.0,49.0,29.8,40.5,84.3,21.0,S_0019,2020-05-14,0-20,6.94,1.97,0.143,SCL
Mumbai,19.076,72.8777,2020-03-22,52.1,52.1,29.9,42.9,76.8,11.0,S_0019,2020-05-14,0-20,6.94,1.97,0.143,SCL
Mumbai,19.076,72.8777,2020-03-29,52.1,52.1,30.3,42.6,80.3,4.0,S_0019,2020-05-14,0-20,6.94,1.97,0.143,SCL
Mumbai,19.076,72.8777,2020-04-05,34.5,60.4,30.2,41.0,84.7,3.0,S_0019,2020-05-14,0-20,6.94,1.97,0.143,SCL
Mumbai,19.076,72.8777,2020-04-12,21.4,65.3,31.9,44.7,80.4,4.0,S_0019,2020-05-14,0-20,6.94,1.97,0.143,SCL
Mumbai,19.076,72.8777,2020-04-19,13.3,65.3,30.3,42.2,79.3,3.0,S_0019,2020-05-14,0-20,6.94,1.97,0.143,SCL
Mumbai,19.076,72.8777,2020-04-26,13.3,65.3,31.0,43.4,79.2,3.0,S_0019,2020-05-14,0-20,6.94,1.97,0.143,SCL
Mumbai,19.076,72.8777,2020-05-03,5.0,65.3,32.0,40.9,81.8,3.0,S_0019,2020-05-14,0-20,6.94,1.97,0.143,SCL
Mumbai,19.076,72.8777,2020-05-10,10.3,75.7,33.3,44.0,82.8,7.0,S_0019,2020-05-14,0-20,6.94,1.97,0.143,SCL
Mumbai,19.076,72.8777,2020-05-17,10.3,75.7,31.4,45.1,79.8,4.0,S_0019,2020-05-14,0-20,6.94,1.97,0.143,SCL
Mumbai,19.076,72.8777,2020-05-24,10.3,75.7,32.6,44.4,81.8,7.0,S_0019,2020-05-14,0-20,6.94,1.97,0.143,SCL
Mumbai,19.076,72.8777,2020-05-31,21.6,86.9,32.9,47.9,81.2,4.0,S_0019,2020-05-14,0-20,6.94,1.97,0.143,SCL
Mumbai,19.076,72.8777,2020-06-07,204.4,236.1,26.4,39.0,88.0,34.0,S_0019,2020-05-14,0-20,6.94,1.97,0.143,SCL
Mumbai,19.076,72.8777,2020-06-14,551.8,578.4,27.2,38.5,90.4,0.0,S_0019,2020-05-14,0-20,6.94,1.97,0.143,SCL
Mumbai,19.076,72.8777,2020-06-21,996.3,1019.9,26.7,37.9,91.3,0.0,S_0019,2020-05-14,0-20,6.94,1.97,0.143,SCL
Mumbai,19.076,72.8777,2020-06-28,1118.9,1153.7,28.2,39.9,90.2,0.0,S_0019,2020-05-14,0-20,6.94,1.97,0.143,SCL
Mumbai,19.076,72.8777,2020-07-05,1275.6,1387.1,27.6,41.2,90.7,3.0,S_0019,2020-05-14,0-20,6.94,1.97,0.143,SCL
Mumbai,19.076,72.8777,2020-07-12,1304.4,1770.1,28.6,39.1,91.8,0.0,S_0019,2020-05-14,0-20,6.94,1.97,0.143,SCL
Mumbai,19.076,72.8777,2020-07-19,1084.0,2006.7,28.1,38.6,90.4,0.0,S_0019,2020-05-14,0-20,6.94,1.97,0.143,SCL
Mumbai,19.076,72.8777,2020-07-26,1102.8,2193.6,28.7,40.3,86.1,1.0,S_0019,2020-05-14,0-20,6.94,1.97,0.143,SCL
Mumbai,19.076,72.8777,2020-08-02,1078.8,2433.4,28.0,39.4,88.8,0.0,S_0019,2020-05-14,0-20,6.94,1.97,0.143,SCL
Mumbai,19.076,72.8777,2020-08-09,1026.4,2666.4,28.5,39.0,87.1,0.0,S_0019,2020-05-14,0-20,6.94,1.97,0.143,SCL
Mumbai,19.076,72.8777,2020-08-16,1103.5,2984.5,27.6,38.8,90.5,0.0,S_0019,2020-05-14,0-20,6.94,1.97,0.143,SCL
Mumbai,19.076,72.8777,2020-08-23,1077.7,3222.8,27.3,37.6,90.8,0.0,S_0019,2020-05-14,0-20,6.94,1.97,0.143,SCL
