city,lat,lon,date,rainfall_weekly,rainfall_30d,rainfall_90d,temp_mean,temp_max,temp_min,humidity_mean,wind_speed,solar_radiation,et0,Sample_ID,Soil_Collection_Date,Depth_cm,pH,Org_Carbon_pct,Nitrogen_pct,Texture_Code
Mumbai,19.076,72.8777,2020-01-05,0.0,0.0,0.0,20.1,24.08,16.13,80.79,7.13,21.17,2.64,S_0019,2020-05-14,0-20,6.94,1.97,0.143,SCL
Mumbai,19.076,72.8777,2020-01-12,0.0,0.0,0.0,20.38,25.12,15.64,81.81,6.17,21.45,2.96,S_0019,2020-05-14,0-20,6.94,1.97,0.143,SCL
Mumbai,19.076,72.8777,2020-01-19,0.0,0.0,0.0,20.03,24.68,15.38,78.09,7.24,21.9,2.94,S_0019,2020-05-14,0-20,6.94,1.97,0.143,SCL
Mumbai,19.076,72.8777,2020-01-26,0.0,0.0,0.0,19.92,24.62,15.22,81.02,6.66,22.45,3.04,S_0019,2020-05-14,0-20,6.94,1.97,0.143,SCL
Mumbai,19.076,72.8777,2020-02-02,0.0,0.0,0.0,20.33,24.93,15.73,78.98,6.24,23.09,3.12,S_0019,2020-05-14,0-20,6.94,1.97,0.143,SCL
Mumbai,19.076,72.8777,2020-02-09,0.0,0.0,0.0,20.73,25.31,16.14,82.37,7.41,23.8,3.25,S_0019,2020-05-14,0-20,6.94,1.97,0.143,SCL
Mumbai,19.076,72.8777,2020-02-16,0.0,0.0,0.0,19.92,24.16,15.67,81.3,7.22,24.57,3.16,S_0019,2020-05-14,0-20,6.94,1.97,0.143,SCL
Mumbai,19.076,72.8777,2020-02-23,0.0,0.0,0.0,20.14,24.55,15.72,78.22,7.37,25.37,3.35,S_0019,2020-05-14,0-20,6.94,1.97,0.143,SCL
Mumbai,19.076,72.8777,2020-03-01,0.0,0.0,0.0,22.63,26.96,18.31,81.73,7.21,26.17,3.65,S_0019,2020-05-14,0-20,6.94,1.97,0.143,SCL
Mumbai,19.076,72.8777,2020-03-08,0.0,0.0,0.0,27.91,32.07,23.75,81.15,11.76,26.96,4.14,S_0019,2020-05-14,0-20,6.94,1.97,0.143,SCL
Mumbai,19.076,72.8777,2020-03-15,0.0,0.0,0.0,29.38,33.29,25.47,80.26,12.45,27.72,4.26,S_0019,2020-05-14,0-20,6.94,1.97,0.143,SCL
Mumbai,19.076,72.8777,2020-03-22,5.84,5.84,5.84,30.11,33.49,26.73,82.16,10.97,25.36,4.14,S_0019,2020-05-14,0-20,6.94,1.97,0.143,SCL
Mumbai,19.076,72.8777,2020-03-29,0.0,5.84,5.84,29.86,34.34,25.37,79.17,14.82,29.05,4.84,S_0019,2020-05-14,0-20,6.94,1.97,0.143,SCL
Mumbai,19.076,72.8777,2020-04-05,0.0,5.84,5.84,30.81,34.71,26.91,79.08,12.1,29.61,4.71,S_0019,2020-05-14,0-20,6.94,1.97,0.143,SCL
Mumbai,19.076,72.8777,2020-04-12,0.0,5.84,5.84,29.49,33.82,25.16,76.63,11.36,30.09,4.9,S_0019,2020-05-14,0-20,6.94,1.97,0.143,SCL
Mumbai,19.076,72.8777,2020-04-19,0.0,0.0,5.84,31.05,35.13,26.97,80.04,12.66,30.49,4.97,S_0019,2020-05-14,0-20,6.94,1.97,0.143,SCL
Mumbai,19.076,72.8777,2020-04-26,0.0,0.0,5.84,32.03,36.44,27.61,80.05,12.54,30.8,5.32,S_0019,2020-05-14,0-20,6.94,1.97,0.143,SCL
Mumbai,19.076,72.8777,2020-05-03,0.0,0.0,5.84,30.17,34.46,25.89,79.4,11.8,31.04,5.1,S_0019,2020-05-14,0-20,6.94,1.97,0.143,SCL
Mumbai,19.076,72.8777,2020-05-10,0.0,0.0,5.84,32.22,36.43,28.01,79.11,14.55,31.22,5.28,S_0019,2020-05-14,0-20,6.94,1.97,0.143,SCL
Mumbai,19.076,72.8777,2020-05-17,0.0,0.0,5.84,32.06,36.18,27.95,76.72,11.3,31.34,5.24,S_0019,2020-05-14,0-20,6.94,1.97,0.143,SCL
Mumbai,19.076,72.8777,2020-05-24,0.0,0.0,5.84,32.34,36.91,27.77,80.91,12.99,31.42,5.56,S_0019,2020-05-14,0-20,6.94,1.97,0.143,SCL
Mumbai,19.076,72.8777,2020-05-31,9.99,9.99,15.83,31.98,36.22,27.74,83.1,10.55,24.72,5.33,S_0019,2020-05-14,0-20,6.94,1.97,0.143,SCL
Mumbai,19.076,72.8777,2020-06-07,358.85,368.84,374.68,26.23,28.91,23.54,91.94,19.45,7.87,3.74,S_0019,2020-05-14,0-20,6.94,1.97,0.143,SCL
Mumbai,19.076,72.8777,2020-06-14,236.79,605.63,611.46,26.92,29.3,24.54,87.89,17.98,8.99,3.59,S_0019,2020-05-14,0-20,6.94,1.97,0.143,SCL
Mumbai,19.076,72.8777,2020-06-21,269.82,875.45,875.45,26.78,29.21,24.35,90.35,18.7,8.99,3.62,S_0019,2020-05-14,0-20,6.94,1.97,0.143,SCL
Mumbai,19.076,72.8777,2020-06-28,359.34,1224.8,1234.79,27.6,30.16,25.03,87.64,15.8,8.98,3.77,S_0019,2020-05-14,0-20,6.94,1.97,0.143,SCL
Mumbai,19.076,72.8777,2020-07-05,634.19,1599.68,1868.97,27.54,30.34,24.73,87.03,16.42,10.09,3.94,S_0019,2020-05-14,0-20,6.94,1.97,0.143,SCL
Mumbai,19.076,72.8777,2020-07-12,233.25,1548.51,2102.22,27.8,30.56,25.04,88.66,19.95,10.08,3.93,S_0019,2020-05-14,0-20,6.94,1.97,0.143,SCL
Mumbai,19.076,72.8777,2020-07-19,329.88,1640.9,2432.1,28.02,30.49,25.55,87.28,18.27,7.82,3.72,S_0019,2020-05-14,0-20,6.94,1.97,0.143,SCL
Mumbai,19.076,72.8777,2020-07-26,278.74,1584.02,2710.85,27.38,30.18,24.58,89.43,18.18,7.8,3.91,S_0019,2020-05-14,0-20,6.94,1.97,0.143,SCL
Mumbai,19.076,72.8777,2020-08-02,307.54,1164.98,3018.39,28.35,31.04,25.66,90.1,16.8,8.87,3.89,S_0019,2020-05-14,0-20,6.94,1.97,0.143,SCL
Mumbai,19.076,72.8777,2020-08-09,271.05,1320.19,3289.44,28.23,30.96,25.49,90.11,17.42,7.72,3.89,S_0019,2020-05-14,0-20,6.94,1.97,0.143,SCL
Mumbai,19.076,72.8777,2020-08-16,169.4,1168.44,3458.84,27.31,29.7,24.92,88.43,16.45,9.85,3.54,S_0019,2020-05-14,0-20,6.94,1.97,0.143,SCL
Mumbai,19.076,72.8777,2020-08-23,265.53,1139.09,3716.41,27.18,29.63,24.74,88.09,19.73,9.75,3.52,S_0019,2020-05-14,0-20,6.94,1.97,0.143,SCL
