species_name,min_rainfall_norm,max_temp_norm,ph_min_norm,ph_max_norm,drought_tol_norm,carbon_factor_norm,soil_sandy,soil_loamy,soil_clayey,growth_slow,growth_medium,growth_fast,root_shallow,root_medium,root_deep,shade_low,shade_medium,shade_high
Neem,0.52,0.61,0.38,0.75,0.75,0.86,0,1,0,0,1,0,0,0,1,0,1,0
Banyan,0.61,0.56,0.42,0.83,0.50,1.00,0,1,0,0,1,0,0,0,1,0,0,1
Peepal,0.56,0.58,0.42,0.83,0.50,0.93,0,1,0,0,1,0,0,0,1,0,0,1
Teak,0.48,0.50,0.46,0.75,0.75,0.71,0,0,1,0,1,0,0,1,0,0,1,0
Sal,0.65,0.53,0.42,0.79,0.50,0.79,0,0,1,0,1,0,0,0,1,0,1,0
Arjun,0.69,0.56,0.42,0.83,0.25,0.86,0,1,0,0,1,0,0,0,1,0,0,1
Amla,0.43,0.56,0.38,0.83,0.75,0.64,0,1,0,0,1,0,0,1,0,0,1,0
Bamboo,0.74,0.61,0.38,0.75,0.50,0.71,0,1,0,0,0,1,0,1,0,0,1,0
Jamun,0.61,0.58,0.42,0.83,0.50,0.79,0,1,0,0,1,0,0,0,1,0,0,1
Mango,0.52,0.56,0.42,0.83,0.50,0.71,0,1,0,0,1,0,0,0,1,0,1,0
